"ip";"port";"country code";"city";"region";"country";"level";"http";"https";"socks4";"socks5";"google";"twitter";"instagram";"telegram";"avito";"mailru";"real_ip";"response, msec";"good checks";"bad checks";"hostname"
"72.10.164.178";1779;"VN";"Ho Chi Minh City";"Ho Chi Minh";"Вьетнам";1;0;1;0;0;0;0;0;0;1;0;"14.161.20.173";284;9;0;"14.161.20.173"
"72.10.160.172";32439;"SG";"";"";"Сингапур";1;0;1;0;0;0;0;0;0;1;0;"49.245.95.3";149;6;1;"3.95.245.49.unknown.m1.com.sg"
"72.10.160.171";27683;"CA";"Winnipeg";"Manitoba";"Канада";1;0;1;0;0;0;0;0;0;0;0;"50.72.119.164";149;6;0;"s01068c763f883b90.wp.shawcable.net"
"72.10.160.171";17011;"BO";"Cochabamba";"Departamento de Cochabamba";"Боливия";1;1;1;0;0;0;0;0;0;1;0;"189.28.94.245";154;21;1;"lpz-189-28-94-00245.tigo.bo"
"72.10.160.170";32171;"CR";"Heredia";"Heredia Province";"Коста-Рика";1;1;1;0;0;0;0;0;0;1;0;"186.176.36.31";149;7;0;"186.176.36.31"
"72.10.160.170";30203;"TW";"Kaohsiung";"Kaohsiung";"Тайвань";1;1;1;0;0;0;0;0;0;1;0;"114.40.33.82";267;9;1;"114.40.33.82"
"72.10.160.170";27565;"CA";"Calgary";"Alberta";"Канада";1;1;1;0;0;0;0;0;0;1;0;"137.186.94.26";267;7;0;"d137-186-94-26.abhsia.telus.net"
"72.10.160.170";27307;"CO";"Bogot";"Bogota D.C.";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"186.30.88.88";149;33;0;"dynamic-186-30-88-88.dynamic.etb.net.co"
"72.10.160.170";23725;"US";"Frederick";"Maryland";"США";1;1;1;0;0;0;0;0;0;1;0;"69.255.242.42";149;25;0;"c-69-255-242-42.hsd1.md.comcast.net"
"72.10.160.170";23385;"MN";"Ulan Bator";"Ulaanbaatar";"Монголия";1;1;1;0;0;0;0;0;0;1;0;"66.181.185.199";154;7;0;"66.181.185.199"
"72.10.160.170";22053;"VE";"Puerto Cabello";"Carabobo";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"38.196.152.1";267;25;0;"38.196.152.1"
"72.10.160.170";21543;"HK";"";"";"Гонконг";1;1;1;0;0;0;0;0;0;1;0;"113.253.66.47";150;7;0;"47-66-253-113-on-nets.com"
"72.10.160.170";21493;"US";"Long Beach";"California";"США";1;1;1;0;0;0;0;0;0;1;0;"47.176.203.26";150;22;0;"47.176.203.26"
"72.10.160.170";21123;"IN";"";"Punjab";"Индия";1;1;1;0;0;0;0;0;0;1;0;"103.40.197.77";267;7;0;"103.40.197.77"
"72.10.160.170";21049;"ID";"Semarang";"Central Java";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"36.80.162.242";150;7;0;"36.80.162.242"
"72.10.160.170";18573;"PE";"Lima";"Lima Province";"Перу";1;1;1;0;0;0;0;0;0;1;0;"38.25.25.89";150;7;0;"38.25.25.89"
"72.10.160.170";18323;"PH";"Bacoor";"Province of Cavite";"Филиппины";1;1;1;0;0;0;0;0;0;1;0;"49.144.137.146";267;33;0;"49.144.137.146"
"72.10.160.170";18045;"PE";"Arequipa";"Arequipa";"Перу";1;1;1;0;0;0;0;0;0;1;0;"179.6.164.11";150;30;0;"179.6.164.11"
"72.10.160.170";16237;"ID";"Jakarta";"Jakarta";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"182.253.90.79";150;7;0;"182.253.90.79"
"72.10.160.170";15739;"CO";"Pereira";"Risaralda Department";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"181.60.20.5";150;21;4;"181.60.20.5"
"72.10.160.170";14143;"AE";"Al Ain City";"Abu Dhabi";"ОАЭ";1;1;1;0;0;0;0;0;0;1;0;"31.215.216.53";150;48;6;"31.215.216.53"
"72.10.160.170";9259;"CA";"Ottawa";"Ontario";"Канада";1;1;1;0;0;0;0;0;0;1;0;"209.195.104.43";150;36;0;"209-195-104-43.cpe.distributel.net"
