title,salary,experience,busyness,location,description,link
Администратор магазина,72 000 — 90 000 ₽/месяц,Опыт не нужен,,,"Вакансии Продажи Алкоголь, напитки Администратор магазина 72 000 — 90 000 ₽/месяц Опыт не нужен Некрасовский Показать на карте Опыт работы не требуется, среднее специальное образование, сменный график работы Пятёрочка 6.5 Клиент SuperJob с 2015 года Более 5 000 сотрудников «Пятёрочка» — это команда из 260 000 человек от Калининграда до Владивостока. Вместе мы создаём крупнейшую российскую сеть магазинов «у... «Пятерочка» приглашает на вакансию: Администратор магазина  ЧЕМ НУЖНО ЗАНИМАТЬСЯ: Организация работы магазина и сотрудников Выполнение плана по товарообороту, минимизация потерь Взаимодействие с проверяющими органами Ведение отчетности и анализ плановых показателей магазина Контроль заказов, приемки, списания и сроков годности товаров, планирование запасов и ротация Инвентаризации  ОТ НАС: Оформление по ТК РФ Фиксированный оклад + надбавка за товарооборот + ежемесячная премия. Средний доход 72000 – 90000 руб. в месяц до вычета налогов График работы 2/2 Финансовая поддержка в сложных жизненных ситуациях Доплата к длительному больничному Медицинская книжка за счет компании Оборудованная комната отдыха с бесплатным кофе и чаем Медицинская страховка, включая поддержку узких специалистов Подарки и компенсация отдыха для детей сотрудников  ОТ ВАС: Образование не ниже средне-профессионального Управленческий опыт работы от 0,5 года (желательно) Опыт работы в ритейле от 0,5 года (желательно) Пользователь ПК Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-magazina-50712975.html
Специалист по расклейке листовок (подработка),42 000 — 52 000 ₽/месяц,Опыт не нужен,,,"Вакансии Специалист по расклейке листовок (подработка) 42 000 — 52 000 ₽/месяц Отклик без резюме Опыт не нужен Королев Опыт работы не требуется, неполный рабочий день Билайн Клиент SuperJob с 2006 года Более 5 000 сотрудников Билайн — это современный и открытый работодатель с возможностями развития для сотрудников разных направлений. Самым ценным активом... Мы предлагаем: Гибкий график, от 4 часов в день 2-3 дня в неделю Гарантированный доход за выполнение плана расклейки объявлений - 10 400 рублей Дополнительный доход за каждую продажу с объявлений без контакта с клиентами. Чем больше расклеенных объявлений, тем больше доход Быстрое обучение от опытного наставника Выбор удобного района без привязки к офису Официальное оформление с первого дня работы к нашему партнеру Что нужно делать: Расклеивать объявления о домашнем интернете от билайна на закреплённой территории В приложении билайна через смартфон фиксировать размещение, делать фотографии расклеенных объявлений Тебе потребуется любой смартфон на операционной системе Android или iOS. ---------------------------------------------------------------------------------------------------------- Ждем людей без опыта и с опытом по специальностям: пеший курьер, расклейщик, распространитель рекламных материалов, почтальон, агент прямых продаж, торговый представитель, промоутер, агент-промоутер, специалист по работе с клиентами, менеджер по продажам, продавец-консультант, менеджер активных продаж, продавец. Тебе понравится у нас, если работал в компаниях: Яндекс, Сбермаркет, Тинькофф, Пятерочка, Магнит, Самокат, OZON, Wildberries, Вкусно – и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком, Дом.ру, ТТК, Купер. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате",https://russia.superjob.ru/vakansii/specialist-po-rasklejke-listovok-50717082.html
Ведущий менеджер по продажам полиграфических материалов,По договоренности,Опыт работы от 3 лет, полная занятость,,"Дизайн Рекламный дизайн / Ивенты, инсталляции, стенды Ведущий менеджер по продажам полиграфических материалов По договоренности Москва Котельники Марьино Показать на карте Опыт работы от 3 лет, высшее образование, полная занятость Холдинг Дубль В Клиент SuperJob с 2008 года Более 100 сотрудников Группа компаний ""Дубль В"" предлагает своим клиентам широкий спектр качественных полиграфических материалов от ведущих мировых... Обязанности: Поддержание имеющейся клиентской базы и активное продвижение материалов среди типографий - клиентов компании • Проведение тестирования и внедрение новых материалов в типографиях • Техническое консультирование клиентов • Поддержка сотрудников филиалов в продвижении товаров • Переписка и переговоры с поставщиками материалов • Участие в маркетинговом продвижении бренда – проведение презентаций для клиентов и сотрудников компании и др. • Управление складскими запасами по товарной группе • Полный цикл работы с клиентами: прием заказов, расчет стоимости, составление коммерческих предложений, контроль и сопровождение заказов, работа в программе 1С, заключение договоров, работа с дебиторской задолженностью • Мониторинг активности конкурентов • Выстраивание долгосрочных партнерских отношений с клиентом. Требования: Опыт работы в полиграфии • Активная жизненная позиция, желание постоянно обучаться, умение работать в команде • Ответственность, коммуникабельность, нацеленность на результат • Готовность к командировкам Условия: Оклад+премия ( по итогам собеседования), дотация на питание, корпоративный транспорт и ст.м.Котельники, белая з.п. Навыки: Английский язык (базовый) Откликнуться",https://russia.superjob.ru/vakansii/veduschij-menedzher-po-prodazham-poligraficheskih-materialov-34026664.html
Водитель категории Е,от 120 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Транспорт, логистика, ВЭД Автоперевозки Водитель категории Е от 120 000 ₽/месяц Тамбов Показать на карте Опыт работы от 1 года, полная занятость Русконтрактор Клиент SuperJob с 2017 года Более 100 сотрудников ООО «Русконтрактор» - строительно-инжиниринговая компания, специализирующаяся на реализации крупных инвестиционных проектов в... Обязанности: Профессиональное безаварийное вождение автомобиля, максимально обеспечивающее сохранность продукции и доставки её в срок; Своевременная сдача надлежаще оформленных документов после рейса; Следить за техническим состоянием автомобиля, своевременно доводить до механиков возникшие технические неисправности, своевременно проводить техническое обслуживание автотранспорта в сервисном центре; Содержать салон и сам автомобиль в чистоте; Выполнять другие распоряжения руководства компании и своего непосредственного руководителя. Требования: Открытая категория ""Е"", Опыт работы на грузовых ТС, Карта для российского тахографа (скзи), желательно и ЕВРО медицинская карта Условия: - от 9 р км - суточные 900р работа на тягачах Рено, Мерседес, Камаз, Вольво полуприцепы рефрижераторы; Возможность обсудить удобный график работы, Официальное трудоустройство по ТК с записью в трудовой книжке, Услуги шиномонтажа и платных стоянок ""Дорожная сеть"" ремонт и обслуживание у официальных дилеров. все машины оснащены GPS навигацией происходит расширение и полное обновление автопарка Навыки: Водительские права: C, E Откликнуться",https://russia.superjob.ru/vakansii/voditel-kategorii-e-45407510.html
Директор магазина,от 120 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Продажи Продукты питания Директор магазина от 120 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов проезд Берёзовой Рощи,8 Полежаевская Опыт работы от 3 лет, высшее образование, полная занятость К-ФУДС 45 Клиент SuperJob с 2012 года До 50 сотрудников Розничная торговля продуктами питания. Обязанности:  Управление и организация работы розничного магазина, управление производством (горячий цех, холодный цех, пекарня), ведение управленческой отчетности.  Требования:  Знание компьютера в совершенстве, обязательно Word, Excel, знание складских программ, опыт управления розничным магазином (желательно продукты питания)  Условия:  Полный соцпакет, бесплатные обеды, премии от объема продаж. Откликнуться",https://russia.superjob.ru/vakansii/direktor-magazina-25384393.html
Военнослужащий по контракту,от 2 000 000 ₽/месяц,Опыт не нужен, полная занятость,,"Вакансии Военнослужащий по контракту от 2 000 000 ₽/месяц Опыт не нужен Ищем кандидата из: г. Москва и др. городов Ставрополь Опыт работы не требуется, полная занятость ВОЕННАЯ КАДРОВАЯ КОМПАНИЯ ЭКСПЕРТ Клиент SuperJob с 2024 года До 50 сотрудников Набор военнослужащих по контракту. Присоединяйтесь к СВОим. МОСКВА- 2 300 000 р. - ЕДВ от 210 000 р. - ежемесячно зарплата+ 50 000 р. - ежемесячно доплата. от 5 420 000 - итого за год, Калуга 2.500.000р. Чебоксары 2.500.000р. Нижний Новгород 1.505.000р.+ участок земли. Воронеж 900.000р. Статус ветерана боевых действий; Освобождение от уплаты налога на имущество (один объект каждого вида); Приостановление по судебным делам; Сохранение рабочего места (на период действия контракта и 3 месяца после его окончания). Обучение детей на бюджетной основе в вузах; Кредитные и налоговые каникулы; Освобождение от уплаты за детский сад, внеочередное зачисление в детский сад, бесплатный завтрак и обед в школе. Выезд в течении нескольких дней после подачи документов.  - Покупаем билет с любого города России . Полное сопровождение. . - Проживание. - Питание предоставляется. - встреча. Обеспечение экипировкой. Военный билет делают 1-2 дня. Телефон, ватсап  Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате",https://russia.superjob.ru/vakansii/voennosluzhaschij-po-kontraktu-50724454.html
По договоренности,"Москва, Ленинградское шоссе, 58",Опыт работы от 3 лет, полная занятость,,"НИИ, КБ Инженер-конструктор ведущий (машиностроение) По договоренности Москва, Ленинградское шоссе, 58 4 минуты Водный стадион Показать на карте Опыт работы от 3 лет, высшее образование, полная занятость Научно-исследовательский машиностроительный институт имени В. В. Бахирева Клиент SuperJob с 2015 года Более 500 сотрудников АО ""НИМИ им. В. В. Бахирева""- надежный партнер с безупречной репутацией. Ведет свою историю с 1932 года. Является головным предприятием в... Обязанности: Участие в проведении опытно-конструкторских и научно-исследовательских работах. Разработка и корректировка конструкторской документации. Разработка отчетов по этапам отработки изделий, технических условий, проектов стандартов и др. документов. Руководить и участвовать в проектировании изделий, разработке военной продукции или ее отдельных сборочных единиц. Разработка ТЗ с ВП и соисполнителем НИОКР на составные части изделия. Участие в написании программ и методик проведения испытаний. Участие в согласовании технического задания на разработку военной продукции. Участие в решении технических вопросах серийного производства изделий на предприятиях отрасли. Возможность выезда в командировку. Требования: Знание нормативно-технической документации и методов проведения технических расчетов при конструировании. Знание ГОСТ ЕСКД. Знание систем и методов проектирования изделий. Знание технических требований, предъявляемых к разрабатываемым конструкциям, условия их испытания, сдачи в эксплуатацию и сопровождения серийного производства. Прикладные компьютерные программы для разработки технической документации и создания презентаций: MS office: Exсel, Word, PowerPoint, visio и т.д. Современные средства автоматизации проектирования и черчения: САПР: ""Компас"", AutoCAD; SolidWorks, MathCAD. Иметь опыт участия в инженерных разработках, НИР и ОКР. Знать порядок и методы планирования проведения НИОКР. Образование высшее техническое (бакалавр, инженер, магистр) МГТУ им. Н.Э. Баумана, МАИ и др. технические ВУЗы. Опыт работы от 3 лет. Условия: Режим работы: с 8-30 до 17-30, пятница до 16-30. Возможность повышения квалификации за счет организации. Оформление ДМС после испытательного срока. Премиальные выплаты по итогам года. Ежегодное увеличение оплаты труда (индексация); Дополнительный социальный пакет для молодых специалистов. Доплата к окладу за ученую степень и дополнительные дни к отпуску. Материальная помощь работникам в различных жизненных ситуациях; Возможность бесплатного посещения спортивного комплекса два раза в неделю рядом с работой (бассейн, тренажерный зал, игровой зал). Занятия по настольному теннису. Собственная столовая для сотрудников с вкусными завтраками и обедами. Оплата больничного, отпуска. Наличие бесплатной охраняемой парковки для работников. Дружный коллектив. Работа в 2-х минутах от метро Водный стадион.",https://russia.superjob.ru/vakansii/inzhener-konstruktor-veduschij-34358445.html
"Водитель автомобиля (категории C, D, E)",По договоренности,Опыт работы от 3 лет,работа вахтовым методом,,"Транспорт, логистика, ВЭД Автоперевозки Водитель грузового автомобиля Водитель автомобиля (категории C, D, E) По договоренности Вахта Чита Показать на карте Опыт работы от 3 лет, работа вахтовым методом Группа Полюс 8 Клиент SuperJob с 2012 года Более 5 000 сотрудников Группа Полюс — крупнейший производитель золота в России и одна из ведущих мировых золотодобывающих компаний по объему добычи. Основные... «Полюс» – крупнейший производитель золота в России. В связи с наращиванием объемов производства и освоением новых месторождений в компании открыта вакансия ""Водитель автомобиля"". Работа вахтовым методом нa предприятии ""Удинск Золото"" в Хабаровском крае (Месторождение Чульбаткан, п. Удинск). Обязанности: Работа на автомобилях на базе КАМАЗа (ассенизаторская, вахта, КМУ бортовой, самосвал, тягач седельный). Требования: Наличие категории С, Д, Е в водительском удостоверении; Опыт от 3 лет. Условия: Вахта - 6 недель / 6 недель; Бессрочный трудовой договор; Работа в Хабаровском крае (Месторождение Чульбаткан, поселок Удинск); Белая заработная плата, выплаты без задержек; Билеты к месту работы и обратно приобретаются работодателем; Оснащенные общежития и бесплатное полноценное трехразовое питание; Мобильная связь - МТС. Навыки: Водительские права: C, D, E Профессиональные навыки Аккуратность Безаварийное вождение Знание устройства автомобиля Автомобильные грузоперевозки Водительское удостоверение категории BC Вахтовка Категории DE Откликнуться Позвонить",https://russia.superjob.ru/vakansii/voditel-avtomobilya-50656732.html
Менеджер по снабжению производства,60 000 — 85 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Транспорт, логистика, ВЭД Складское хозяйство Менеджер по снабжению производства 60 000 — 85 000 ₽/месяц Москва 14 минут Шоссе Энтузиастов Показать на карте Опыт работы от 3 лет, высшее образование, полная занятость ПНФ ""ЛГ автоматика"" Клиент SuperJob с 2012 года Более 100 сотрудников Производственно-научная фирма «ЛГ автоматика» – российская компания, разработчик и производитель клапанов как элементов систем АСУТП для... В производственную фирму приглашается на работу менеджер по снабжению. Обязанности: Организация процесса снабжения производства и склада поиск и ведение базы поставщиков контроль оплаты и доставки или самовывоза предоставление в бухгалтерию всей необходимой отчетной документации по закупкам ведение отчетной документации Требования: Образование высшее (желательно техническое); Умение читать чертежи (приветствуется) , знание основ межзаводской кооперации, аналитические отчеты; Уверенный пользователь ПК и MS office. Коммуникабельность, обучаемость, ответственность, внимательность, стрессоустойчивость. Условия: График работы: 5/2 с 9:00 до 18:00 Оформление по ТК РФ З/п ( белая, выплаты согласно ТК РФ) - оклад, премия, персональные надбавки, надбавка за выслугу лет. Территориально: ст. м. Шоссе Энтузиастов Откликнуться",https://russia.superjob.ru/vakansii/menedzher-po-snabzheniyu-proizvodstva-38560963.html
Расклейщик рекламы,от 18 800 ₽/месяц,Опыт не нужен,,,"Вакансии Маркетинг, реклама, PR Наружная реклама Расклейщик рекламы от 18 800 ₽/месяц Отклик без резюме Опыт не нужен Калуга Опыт работы не требуется, неполный рабочий день Билайн Клиент SuperJob с 2006 года Более 5 000 сотрудников Билайн — это современный и открытый работодатель с возможностями развития для сотрудников разных направлений. Самым ценным активом... Мы предлагаем: Гибкий график, от 4 часов в день 2-3 дня в неделю Средний доход за размещение объявлений – 32 500 рублей Дополнительный доход за каждую продажу с объявлений без контакта с клиентами. Чем больше расклеенных объявлений, тем больше доход Быстрое обучение от опытного наставника Выбор удобного района без привязки к офису Официальное оформление с первого дня работы к нашему партнеру Что нужно делать: Расклеивать объявления о домашнем интернете от билайна на закреплённой территории В приложении билайна через смартфон фиксировать размещение, делать фотографии расклеенных объявлений Тебе потребуется любой смартфон на операционной системе Android или iOS. Ждем людей без опыта и с опытом по специальностям: пеший курьер, расклейщик, распространитель рекламных материалов, почтальон, агент прямых продаж, торговый представитель, промоутер, агент-промоутер, специалист по работе с клиентами, менеджер по продажам, продавец-консультант, менеджер активных продаж, продавец. Тебе понравится у нас, если работал в компаниях: Яндекс, Сбермаркет, Тинькофф, Пятерочка, Магнит, Самокат, OZON, Wildberries, Вкусно – и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком, Дом.ру, ТТК, Купер. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/rasklejschik-reklamy-50671364.html
Ведущий инженер-конструктор,100 000 — 150 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Строительство, проектирование, недвижимость Конструирование Ведущий инженер-конструктор 100 000 — 150 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Рязань, Промышленная улица, 21 Опыт работы от 3 лет, высшее образование, полная занятость ПК Олмаг Клиент SuperJob с 2018 года До 50 сотрудников Компания ООО ""ПК ОлМаг"" занимается производством и поставкой магнитных сепараторов, систем магнитной опалубки и поставкой постоянных... Обязанности:  Проектирование промышленного оборудования, сопровождение изделия в производстве  Требования:  Образование высшее техническое, знание механики и металлообработки, знание программ 3d моделирования, ЕСКД  Условия:  Оформление по ТК, график 5/2 Откликнуться",https://russia.superjob.ru/vakansii/veduschij-inzhener-konstruktor-30869553.html
Администратор магазина,43 605 — 67 300 ₽/месяц,Опыт не нужен,,,"Вакансии Продажи Алкоголь, напитки Администратор магазина 43 605 — 67 300 ₽/месяц Опыт не нужен Ейск Показать на карте Опыт работы не требуется, среднее специальное образование, сменный график работы Пятёрочка 6.5 Клиент SuperJob с 2015 года Более 5 000 сотрудников «Пятёрочка» — это команда из 260 000 человек от Калининграда до Владивостока. Вместе мы создаём крупнейшую российскую сеть магазинов «у... «Пятерочка» приглашает на вакансию: Администратор магазина  ЧЕМ НУЖНО ЗАНИМАТЬСЯ: Организация работы магазина и сотрудников Выполнение плана по товарообороту, минимизация потерь Взаимодействие с проверяющими органами Ведение отчетности и анализ плановых показателей магазина Контроль заказов, приемки, списания и сроков годности товаров, планирование запасов и ротация Инвентаризации  ОТ НАС: Оформление по ТК РФ Фиксированный оклад + надбавка за товарооборот + ежемесячная премия. Средний доход 43605 – 67300 руб. в месяц до вычета налогов График работы 2/2 Финансовая поддержка в сложных жизненных ситуациях Доплата к длительному больничному Медицинская книжка за счет компании Оборудованная комната отдыха с бесплатным кофе и чаем Медицинская страховка, включая поддержку узких специалистов Подарки и компенсация отдыха для детей сотрудников  ОТ ВАС: Образование не ниже средне-профессионального Управленческий опыт работы от 0,5 года (желательно) Опыт работы в ритейле от 0,5 года (желательно) Пользователь ПК Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-magazina-50635357.html
Расклейщик листовок,22 000 — 29 600 ₽/месяц,Опыт не нужен,,,"Вакансии Маркетинг, реклама, PR Наружная реклама Расклейщик листовок Расклейщик листовок 22 000 — 29 600 ₽/месяц Отклик без резюме Опыт не нужен Пермь Показать на карте Опыт работы не требуется, неполный рабочий день Билайн Клиент SuperJob с 2006 года Более 5 000 сотрудников Билайн — это современный и открытый работодатель с возможностями развития для сотрудников разных направлений. Самым ценным активом... Мы предлагаем: Гибкий график, от 4 часов в день 2-3 дня в неделю Гарантированный доход за выполнение плана расклейки объявлений - 10 400 рублей Дополнительный доход за каждую продажу с объявлений без контакта с клиентами. Чем больше расклеенных объявлений, тем больше доход Быстрое обучение от опытного наставника Выбор удобного района без привязки к офису Официальное оформление с первого дня работы к нашему партнеру Что нужно делать: Расклеивать объявления о домашнем интернете от билайна на закреплённой территории В приложении билайна через смартфон фиксировать размещение, делать фотографии расклеенных объявлений Тебе потребуется любой смартфон на операционной системе Android или iOS. Ждем людей без опыта и с опытом по специальностям: пеший курьер, расклейщик, распространитель рекламных материалов, почтальон, агент прямых продаж, торговый представитель, промоутер, агент-промоутер, специалист по работе с клиентами, менеджер по продажам, продавец-консультант, менеджер активных продаж, продавец. Тебе понравится у нас, если работал в компаниях: Яндекс, Сбермаркет, Тинькофф, Пятерочка, Магнит, Самокат, OZON, Wildberries, Вкусно – и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком, Дом.ру, ТТК, Купер. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить Чат",https://russia.superjob.ru/vakansii/rasklejschik-listovok-50671474.html
"Водитель по категории Е (Полуприцеп, КМУ, ТРАЛ, ВОДА)",от 200 000 ₽/месяц,Опыт работы от 3 лет,работа вахтовым методом,,"Транспорт, логистика, ВЭД Автоперевозки Водитель грузового автомобиля Водитель по категории Е (Полуприцеп, КМУ, ТРАЛ, ВОДА) от 200 000 ₽/месяц Вахта Иркутск Показать на карте Опыт работы от 3 лет, работа вахтовым методом СпецТрансАвто Клиент SuperJob с 2018 года Более 100 сотрудников ООО СПЕЦТРАНСАВТО Предоставляем транспортные услуги на территории нефтегазовых месторождений. Компания динамично развивается, ежегодно... Приглашаем на работу вахтовым методом водителя по Е кат Собственный автопарк, машины на базе Камаз 43118  Е кат. : Е п/п, Водовозка, Трал, КМУ (обучаем) Вам предлагаем: Работа вахтовым методом на территории Ярактинского НГКМ (Иркутская Область, Усть-Кутский район). Вахта 45\45 Проживание - в вагончиках Питание в столовых, есть магазины на месторождении, выдается карта на питание 21 тыс.руб Спецодежда, проезд Обязанности: Контроль за техническим состоянием автомобиля Ведение путевой документации, соблюдение правил БДД и правил перевозки крупногабаритных и тяжеловесных грузов. Вождение автомобиля по Е кат Требования: Водительское удостоверение категории «Е», опыт по Е категории от 2-х лет Знание устройства автомобилей, опыт с техникой КАМАЗ   Уважаемые соискатели, звоните пока открыта вакансия, если линия занята и Вам не ответили, пишите WhatsApp, Viber или просто смс, мы обязательно с Вами свяжемся- хорошего дня! Навыки: Водительские права: E Откликнуться Позвонить",https://russia.superjob.ru/vakansii/voditel-po-kategorii-e-42129937.html
Военнослужащий-контракт,от 275 000 ₽/месяц,Опыт не нужен,,,"Вакансии Военнослужащий по контракту Военнослужащий-контракт от 275 000 ₽/месяц Вахта Опыт не нужен Ищем кандидата из: г. Москва и др. городов Уфа Опыт работы не требуется, работа вахтовым методом СТОПФАЕР Клиент SuperJob с 2024 года До 50 сотрудников Охранные системы Ведется набор сотрудников (ТОЛЬКО МУЖЧИНЫ ) по всей территории РФ, опыт службы в армии не обязателен (проводится обучение). Единовременная выплата 2 300 000 - 3 000 000 рублей. Контракт заключается напрямую с Мин. обороны РФ. В полку контрактникам обеспечат индивидуальную боевую подготовку высшего уровня с опытными инструкторами. Бойцов снабдят лучшей современной экипировкой. Кроме того, гарантирован особый уровень взаимодействия с близкими и семьями контрактников. Условия: При подписании контракта единовременно «подъемные» от 2 300 000 до 3 000 000 pублей - при условии заключения контракта нa срок oт 1 года; Ежемесячные выплаты от 260 000 до 600 000 и более рублей каждый месяц; Полный пакет социальных гарантий и льгот военнослужащего и его семье; Сохранение рабочего места; Бесплатное медицинское обеспечение на весь период службы; Возможность включения в накопительно-ипотечную систему; Возможность дополнительного обучения, карьерного роста и самореализации; Обеспечение формой, снаряжением, питанием, проживанием; Оплачиваемый отпуск 2 раза в год с оплатой проезда; Достойное звание ветерана Вооруженных Сил РФ, высокий социальный статус. Могут подписать контракт с МО РФ лица, соответствующие следующим Требованиям: Опыт службы в армии НЕ обязателен, всему научим; * Категории годности по здоровью А, Б, В, (Г- по результату мед. освидетельствования); * Можно без военного билета; * Можно с погашенными и НЕ погашенными судимостями, на условном сроке, а также с любыми долгами. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться",https://russia.superjob.ru/vakansii/voennosluzhaschij-kontrakt-50690620.html
Менеджер по продажам автомобилей с пробегом,от 80 000 ₽/месяц,Опыт не нужен, полная занятость,,"Вакансии Менеджер по продажам автомобилей с пробегом от 80 000 ₽/месяц Опыт не нужен Сыктывкар Показать на карте Опыт работы не требуется, полная занятость Агат 7.1 Клиент SuperJob с 2009 года Более 1 000 сотрудников Группа Компаний АГАТ входит в ТОП-10 автодилеров России. ГК АГАТ это: 19 городов присутствия; 93 дилерских центра; 11 центров кузовного... Работа в ГК Агат – это не только достойная зарплата и социальные гарантии, но и отличная корпоративная культура, где ваше мнение будет услышано. Мы предполагаем разнообразные пути карьерного роста и предлагаем вам стать частью нашей дружной команды.  Если вы готовы к новым вызовам и хотите расти профессионально, ждем ваше резюме! Что мы предлагаем: Гарантированный оклад 40 000 рублей до вычета налога + достойная премия за каждый проданный автомобиль, доход без ограничений! Полностью белую з/п, стабильные выплаты 2 раза в месяц без задержек График работы 5/2, с 8.00 до 17.00 или с 11.00 до 20.00 на выбор, плавающие выходные Работу с теплой клиентской базой, без поиска - клиенты сами приходят в автосалон Бонусы по программе ""Приведи друга"" (от 5 до 50 тыс. рублей за одного друга) Участие в профессиональных конкурсах мастерства с денежными призами до 20 000 руб. Официальное трудоустройство в штат компании с первого рабочего дня Оплачиваемый ученический отпуск Обучение и наставничество на рабочем месте — учебная платформа Ispring Реальная возможность карьерного роста - успешная программа развития кадрового резерва (более 98% наших руководителей выросли внутри ГК АГАТ) Предоставляем приятные скидки на приобретение и обслуживание личного автомобиля в компании Предлагаем интересные программы лояльности для сотрудников А также вас ждут корпоративные мероприятия и подарки детям на новый год Что нужно делать: Помогать клиенту в подборе автомобиля и выборе наилучшего решения. Требования: Опыт работы в продажах будет вашим преимуществом Если возникнут вопросы по вакансии или сложно определиться с должностью, не стесняйтесь обращаться к нам по контактам ниже. Менеджеры по персоналу здесь, чтобы Вам помочь! Благодарим Вас за интерес, проявленный к нашей Компании! Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате",https://russia.superjob.ru/vakansii/menedzher-po-prodazham-avtomobilej-s-probegom-50724885.html
