resume_links,start_date,end_date
https://russia.superjob.ru/resume/menedzher-42646467.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/nachalnik-otk-veduschij-glavnyj-inzhener-1724157.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/glavnyj-buhgalter-7724460.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/finansovyj-analitik-1465647.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/nachalnik-28172981.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/rukovoditel-55662582.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/inzhener-5238128.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/assistent-55676331.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/specialist-po-periodicheskoj-akkreditacii-medicinskih-rabotnikov-3038310.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/nachalnik-mebelnogo-ceha-55681112.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/buhgalter-498199.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/tehnicheskij-specialist-55011491.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/medicinskaya-sestra-2122480.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/master-prorab-33468794.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/inzhener-kipia-30850303.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/veduschij-testirovschik-po-55605817.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/inzhener-po-nadzoru-za-stroitelstvom-38057586.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/zamestitel-direktora-po-yuridicheskim-voprosam-41487891.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/rukovoditel-filiala-55568313.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/rukovoditel-43019760.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/kontroler-otk-55547916.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/menedzher-po-reklame-1225607.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/rukovoditel-otdela-logistiki-28422887.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/menedzher-po-prodazham-5600652.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/zaveduyuschij-skladom-8808887.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/zubnoj-tehnik-cad-35483362.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/ohrannik-licenzirovannyj-50175422.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/menedzher-po-rabote-s-klientami-21378100.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/inzhener-mehanik-po-remontu-oborudovaniya-4853583.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/voditel-kategorii-v-51684671.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/buhgalter-55687979.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/operator-internet-magazina-29643356.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/vospitatel-detskogo-sada-38981898.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/biznes-analitik-54797454.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/glavnyj-tehnolog-rybnogo-proizvodstva-2822772.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/finansovyj-direktor-21479752.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/mashinist-burovoj-ustanovki-6856592.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/yurist-8810538.html,2025-05-22 15:00:00,2025-05-23 15:00:00
https://russia.superjob.ru/resume/rukovoditel-42424.html,2025-05-22 15:00:00,2025-05-23 15:00:00
